context_class,rows,total_chars,avg_chars
economics_business,68,28478,418.79411764705884
entertainment,78,28424,364.4102564102564
environment_climate,75,28528,380.37333333333333
general_factual,76,28506,375.07894736842104
geography,70,28518,407.4
health,74,28535,385.6081081081081
history,73,28526,390.7671232876712
law_crime,82,28567,348.3780487804878
politics_government,71,28547,402.07042253521126
science,67,28563,426.3134328358209
society_culture,74,28567,386.0405405405405
space_astronomy,77,29344,381.09090909090907
sports,75,28439,379.18666666666667
technology,68,28412,417.8235294117647
