context_class,rows,total_chars,avg_chars,avg_words
economics_business,1070,467408,436.82990654205605,68.09719626168224
entertainment,1055,465257,441.00189573459716,71.0995260663507
environment_climate,1081,482094,445.9703977798335,67.88806660499537
general_factual,616,260045,422.15097402597405,66.58603896103897
geography,1055,444043,420.8938388625592,67.75924170616113
health,1086,492079,453.1114180478821,69.22467771639042
history,1055,493013,467.31090047393366,73.31090047393364
law_crime,1062,455263,428.68455743879474,69.63653483992466
politics_government,1042,474805,455.6669865642994,70.02015355086372
science,1198,541358,451.8848080133556,68.72787979966611
society_culture,962,437359,454.63513513513516,69.44906444906445
space_astronomy,1109,493669,445.1478809738503,71.98016230838593
sports,911,388201,426.1262349066959,70.77716794731064
technology,1096,489590,446.70620437956205,67.9507299270073
