context_class,relevance_level,rows,total_chars,avg_chars,avg_words
economics_business,primary,451,201683,447.19068736141907,68.57206208425721
economics_business,secondary,341,150857,442.3958944281525,69.13196480938416
economics_business,tertiary,278,114868,413.19424460431657,66.05755395683454
entertainment,primary,446,194249,435.5358744394619,70.66591928251121
entertainment,secondary,347,153694,442.9221902017291,70.15561959654178
entertainment,tertiary,262,117314,447.76335877862596,73.08778625954199
environment_climate,primary,454,206564,454.9867841409692,68.49779735682819
environment_climate,secondary,351,148232,422.3133903133903,65.96011396011396
environment_climate,tertiary,276,127298,461.22463768115944,69.33695652173913
general_factual,primary,349,148498,425.49570200573066,67.20057306590257
general_factual,secondary,248,102649,413.90725806451616,65.31854838709677
general_factual,tertiary,19,8898,468.3157894736842,71.84210526315789
geography,primary,468,192039,410.3397435897436,65.2094017094017
geography,secondary,348,151429,435.14080459770116,71.46551724137932
geography,tertiary,239,100575,420.81589958159,67.35564853556485
health,primary,454,212139,467.26651982378854,70.1079295154185
health,secondary,351,158557,451.72934472934475,69.70370370370371
health,tertiary,281,121383,431.9679715302491,67.19928825622776
history,primary,449,208167,463.6236080178174,73.7750556792873
history,secondary,337,156790,465.25222551928783,72.87833827893175
history,tertiary,269,128056,476.0446096654275,73.07806691449814
law_crime,primary,462,192489,416.64285714285717,68.33982683982684
law_crime,secondary,344,149047,433.2761627906977,69.54069767441861
law_crime,tertiary,256,113727,444.24609375,72.10546875
politics_government,primary,452,203940,451.1946902654867,69.16371681415929
politics_government,secondary,331,153436,463.5528700906344,71.02114803625378
politics_government,tertiary,259,117429,453.3938223938224,70.23552123552123
science,primary,563,258421,459.0071047957371,70.58614564831261
science,secondary,339,147298,434.5073746312684,64.96165191740413
science,tertiary,296,135639,458.23986486486484,69.50675675675676
society_culture,primary,446,205734,461.2869955156951,70.5067264573991
society_culture,secondary,342,156260,456.90058479532166,69.34502923976608
society_culture,tertiary,174,75365,433.132183908046,66.94252873563218
space_astronomy,primary,455,201241,442.2879120879121,72.27472527472527
space_astronomy,secondary,350,158784,453.66857142857145,73.25428571428571
space_astronomy,tertiary,304,133644,439.61842105263156,70.07236842105263
sports,primary,459,197874,431.0980392156863,71.40958605664488
sports,secondary,340,145310,427.38235294117646,70.55294117647058
sports,tertiary,112,45017,401.9375,68.86607142857143
technology,primary,454,202857,446.8215859030837,66.87665198237886
technology,secondary,342,156139,456.546783625731,69.59941520467837
technology,tertiary,300,130594,435.31333333333333,67.69666666666667
